고장발생일,건물명,주소,승강기고유번호
2025-07-01,삼환가락아파트,서울특별시 송파구 오금로 432 (가락동),0012458
2025-07-01,시지 삼정그린코아 포레스트,대구광역시 수성구 욱수천로2길 22 ,6063728
2025-07-01,진사리주은청설APT,경기도 안성시 공도읍 진사길 32 ,2151463
2025-07-01,현대사원아파트,전북특별자치도 완주군 봉동읍 봉동로 466-19 (현대사원아파트),7017427
2025-06-30,롯데쇼핑(주)롯데마트동래점,부산광역시 동래구 중앙대로 1393 (온천동),8020270
2025-06-30,수원아이파크씨티 11단지,경기도 수원시 권선구 경수대로 224  (권선동),2222903
2025-06-29,한영드림아파트,서울특별시 중랑구 면목로74길 11-9 (면목동),0017101
2025-06-27,법조프라자,충청남도 천안시 동남구 청수14로 56 (청당동),5038053
2025-06-24,재원하우스,"부산광역시 동래구 안연로102번길 39 (안락동, 재원하우스)",8095455
2025-06-24,홍성광천아파트,충청남도 홍성군 광천읍 광천로428번길 46-14 ,5038651
2025-06-22,사파동성아파트,"경상남도 창원시 성산구 창이대로 737 (사파동, 사파동성아파트)",8012629
2025-06-21,한성진주아파트,충청북도 음성군 음성읍 설성로 22 ,5020318
2025-06-20,더럭스나인오피스텔A동,경기도 김포시 김포한강10로133번길 126 (구래동) ,2135990
2025-06-19,광교2차e-편한세상,경기도 수원시 영통구 웰빙타운로 50 (이의동),2103168
2025-06-16,위례31단지,경기도 성남시 수정구 위례순환로 17  (창곡동),2174284
2025-06-15,센타프라자,경기도 화성시 동탄기흥로 147-13 ,2150672
2025-06-14,동래센트럴파크하이츠1단지,부산광역시 동래구 문화로 15 (명륜동),8075109
2025-06-14,서홍마을한일아파트,경기도 용인시 수지구 신봉1로48번길 29 (신봉동),2066987
2025-06-12,해랑하우스,충청남도 아산시 탕정면 매곡한들10길 13 ,5098245
2025-06-11,미래주택,경기도 안산시 단원구 신촌1길 76 (초지동),2144145
2025-06-09,나주우영타워,전라남도 나주시 나주천2길 54 (금계동),7012315
2025-06-09,대동플라스틱,경기도 남양주시 진건읍 진관산단로59번길 46 ,2133364
2025-06-08,삼풍백합아파트,전라남도 순천시 풍덕주택4길 40 (덕암동),7006186
2025-06-08,선한목자교회,경기도 성남시 수정구 성남대로1518번길 9 (복정동),2145800
2025-06-08,일산5차동문아파트,경기도 고양시 일산서구 탄중로 501 (일산동),2016796
2025-06-07,G-플레이스,전라남도 순천시 순천만정원로 86 (풍덕동),7055105
2025-06-05,(주)현대케피코,경기도 군포시 고산로 102 (당정동),2144556
2025-06-05,e편한세상태전2차 1단지,"경기도 광주시 태전동로 12 (태전동, 이편한세상태전2차)",2174171
2025-06-05,한국철도공사가산디지털단지역,서울특별시 금천구 벚꽃로 309 (가산동),1901344
2025-06-04,신한은행 광화문지점,서울특별시 중구 세종대로 135-5(태평로1가) ,0152325
2025-06-04,포레빌,전라남도 여수시 미평8길 14 ,7066850
2025-06-02,연희대우아파트,서울특별시 서대문구 연희로 38-20 (연희동),0081315
2025-06-01,e편한세상태전2차 1단지,"경기도 광주시 태전동로 12 (태전동, 이편한세상태전2차)",2174169
2025-05-28,봄파크,대구광역시 달서구 성서동로66길 6 (장기동),6048508
2025-05-26,신라금속공예관,경상북도 경주시 하동공예촌길 25-15 신라금속공예관,6066442
2025-05-25,서창대동아파트,경상남도 양산시 소주로 182 (소주동，서창대동아파트),8010102
2025-05-25,충청북도청,충청북도 청주시 상당구 상당로 82 (문화동),5082702
2025-05-23,미소빌딩,서울특별시 강남구 언주로174길 13 (신사동),0087700
2025-05-23,진해신항만경남아너스빌,"경상남도 창원시 진해구 마천로 50 (마천동, 진해신항만경남아너스빌)",8040611
2025-05-23,흰돌4단지주공아파트,경기도 고양시 일산동구 장백로 59  (백석동),2134277
2025-05-20,가온마을4단지,세종특별자치시 다정중앙로 19 (다정동),5075829
2025-05-20,내포신도시이지더원1차아파트,충청남도 예산군 삽교읍 수암천로 11 ,5071813
2025-05-19,더샵송도마리나베이,인천광역시 연수구 랜드마크로 160 (송도동),2219305
2025-05-19,창동상아1차아파트,서울특별시 도봉구 해등로 118 (창동),0053308
2025-05-18,잠실파크리오아파트2단지,서울특별시 송파구 올림픽로 435 (신천동),0037320
2025-05-17,호텔이프,대구광역시 달서구 성서공단로11길 12-14 (호림동),6003773
2025-05-15,우면주공아파트,서울특별시 서초구 바우뫼로7길 11 (우면동),0045962
2025-05-14,상봉요양병원,부산광역시 부산진구 황령대로8번길 7 (범천동),8082529
2025-05-12,헤리티지,서울특별시 강동구 천중로32길 16  (천호동),0121755
2025-05-11,오션라이프에일린의 뜰 1단지,"부산광역시 영도구 태종로 611  (동삼동, 오션라이프 에일린의 뜰 1단지)",8119654
2025-05-08,DM빌딩,광주광역시 동구 동명로 56 (동명동),7050304
2025-05-06,구평영무예다음2차,경상북도 구미시 인동가산로 337-7 (구평동，구평 영무예다음2차 아파트),6032762
2025-05-02,한국복합물류(주),경기도 군포시 번영로 82 (부곡동),2054326
2025-05-01,부용리9,"경기도 양평군 양서면 목왕로 409-8 ,(부용리)",2239306
2025-04-30,동두천송내주공1단지아파트,경기도 동두천시 지행로 16 (지행동，송내주공아파트1단지),2037565
2025-04-29,상남메디칼,경상남도 창원시 성산구 상남로 122 (상남동),8028947
2025-04-29,성원상떼뷰오피스텔,서울특별시 성동구 아차산로15길 10 (성수동2가),0015002
2025-04-26,이안두드림기흥역,경기도 용인시 기흥구 중부대로 376 (신갈동),2206101
2025-04-25,더갤러리,경기도 성남시 중원구 광명로 88 (성남동),2212812
2025-04-25,성남센트럴타운아파트,경기도 성남시 중원구 성남대로 1000 (여수동),2054648
2025-04-25,우암병원,광주광역시 북구 동문대로248번길 10 (각화동),7001997
2025-04-23,군문주공2단지아파트,경기도 평택시 원평로25번길 61 (군문동),2088049
2025-04-23,금호타워,부산광역시 북구 화명대로 44 (화명동),8000497
2025-04-23,명지두산위브포세이돈,부산광역시 강서구 명지오션시티11로 22 (명지동),8056769
2025-04-22,다이소문경모전점,경상북도 문경시 당교로 258  (모전동),6057014
2025-04-22,신창 양우내안애아파트,충청남도 아산시 신창면 행목로 202 ,5038382
2025-04-22,역삼래미안아파트,서울특별시 강남구 선릉로69길 19 (역삼동),0010304
2025-04-21,신동아파밀리에NHF7단지아파트,"경기도 평택시 고덕국제2로 73 (고덕동, 고덕신동아파밀리에엔에이치에프7단지)",2210256
2025-04-21,율전삼성2단지아파트,경기도 수원시 장안구 서부로 2067 (율전동),2044868
2025-04-20,미소아트빌(나동),전라남도 영광군 영광읍 신남로5길 17 (미소아트빌),7043347
2025-04-18,동인동 힐스테이트,대구 중구 공평로20길 37-15 ,6069082
2025-04-16,서초현대아파트,서울특별시 서초구 효령로68길 13 (서초동，현대아파트(서초동)),0087966
2025-04-15,성원1차아파트,"경상남도 창원시 성산구 대정로 73 (남양동, 성원1차아파트)",8083450
2025-04-13,둔촌프라자APT,서울특별시 강동구 천호대로 1240 (둔촌동),0087568
2025-04-13,향원밸리빌,부산광역시 서구 대청로 7-1 (부민동1가),8002709
2025-04-12,"부산 명지 듀클래스 1,6BL","부산광역시 강서구 르노삼성대로 381 (명지동) 명지동 3605-1,2/ 5,6번지일원",8121297
2025-04-12,부산일광E편한세상,부산광역시 기장군 일광면 해빛2로 21 ,8101167
2025-04-12,용산이안스위트3차301동,서울특별시 용산구 청파로 205-26 (문배동),0005679
2025-04-11,시화건영2차아파트,"경기도 시흥시 옥구천동로 399 (정왕동, 건영2차아파트)",2107314
2025-04-09,역삼e-편한세상,서울특별시 강남구 선릉로69길 20 (역삼동),0067098
2025-04-08,신곡건영아파트,경기도 의정부시 능곡로26번길 40 (신곡동，신곡건영아파트),2002058
2025-04-06,현대요양병원,강원특별자치도 원주시 치악로1604번길 22 ,4000608
2025-04-04,화천회관,서울특별시 강남구 영동대로 702 (청담동),0101620
2025-04-02,남향아파트,대구광역시 북구 학정로7길 2 (태전동),6002413
2025-04-02,한국연구재단,대전광역시 유성구 가정로 201 (가정동),5101866
2025-04-01,빅타운,대구광역시 북구 동암로 110 (동천동),6027272
2025-04-01,산곡현대5차아파트,인천광역시 부평구 안남로 260 (산곡동),2074238
2025-03-31,창원코아,"경상남도 창원시 성산구 상남로 71 (상남동, 창원코아)",8012105
2025-03-30,송절동성당,충청북도 청주시 흥덕구 송절로124번길 9 (봉명동),5079066
2025-03-29,가온마을 9단지,세종특별자치시 다정북로 183 (다정동),5076449
2025-03-29,대명이룸아파트,서울특별시 동대문구 천호대로77길 63 (장안동),0043822
2025-03-29,샤르망프라자,경기도 평택시 비전3로 30 (비전동),2136217
2025-03-28,진주MBC,경상남도 진주시 가호로 13 (가좌동),8029101
2025-03-27,대구 태평로2가 노유자시설,대구 중구 태평로2가 1-57번지 ,6069009
2025-03-27,동산제일2차아파트,전북특별자치도 익산시 평동로17길 5  (동산동),7023151
2025-03-27,자양대동아파트,서울특별시 광진구 뚝섬로31길 20 (자양동),0027458
2025-03-26,울산방어휴먼시아,"울산광역시 동구 등대4길 25 (방어동, 울산방어휴먼시아)",8025008
2025-03-26,한국철도공사분당선-망포역,경기도 수원시 영통구 덕영대로 지하 1520 (영통동),2086848
2025-03-26,호텔CUBE,인천광역시 연수구 인권로9번길 21 (옥련동),2078889
2025-03-25,월계동 26-15,서울특별시 노원구 화랑로47길 7 (월계동),0125812
2025-03-23,칠곡현대아파트,대구광역시 북구 구리로 254 (국우동),6020023
2025-03-22,스카이블레스,인천광역시 부평구 시장로 73 (부평동),2206596
2025-03-21,울산신정두산위브더제니스,울산광역시 남구 신정로203번길 61 (신정동),8009310
2025-03-16,양산성원아파트,경상남도 양산시 물금읍 오봉로 179 (성원아파트),8024478
2025-03-11,영암삼호퀸스빌1차아파트,전라남도 영암군 삼호읍 대불주거로 49  (퀸스빌1차아파트),7011353
2025-03-10,"금호레이크빌(4,5,6,7동)","경기도 부천시 오정구 고리울로 87  (고강동, 금호타운)",2160634
2025-03-09,형곡금호어울림포레1차,"경상북도 구미시 신시로 119 (형곡동, 형곡금호어울림포레)",6048622
2025-03-07,분당서현아이원플러스,경기도 성남시 분당구 서현로 170 (서현동),2126457
2025-03-07,우정빌딩,대구광역시 달서구 월배로 180 (상인동),6005582
2025-03-06,SG스퀘어,경기도 수원시 권선구 매송고색로 526 (오목천동),2217149
2025-03-05,거제마린푸르지오1단지,경상남도 거제시 용소1길 17-17 (아주동),8083333
2025-03-05,남명세비앙주상복합아파트,경상남도 창원시 마산합포구 중앙남3길 10 (중앙동2가),8029519
2025-03-04,광교센트럴뷰,경기도 수원시 영통구 센트럴타운로22번길 36 (이의동),2093274
2025-03-04,세종블루지움,세종특별자치시  한누리대로 306 (나성동),5061036
2025-03-03,대유위니아오룡기숙사-B동,광주광역시 북구 앰코로 10 (오룡동),7014935
2025-03-03,포레나 여수 웅천 2단지,전라남도 여수시 웅천남8로 23 ,7057474
2025-03-02,신동백서해그랑블2차아파트,경기도 용인시 기흥구 언동로217번길 31 (중동，신동백서해그랑블2차아파트),2081672
2025-02-28,서초풍림아이원플러스,서울특별시 서초구 효령로77길 14 (서초동),0034688
2025-02-28,인디안 송현점,경상북도 안동시 경북대로 486 ,6046760
2025-02-26,서면다인로얄팰리스1차,부산광역시 부산진구 신천대로65번길 9 (범천동),8098510
2025-02-25,동양파라곤2단지,경기도 수원시 팔달구 효원로308번길 58-11 (인계동),2104198
2025-02-24,당진세원목화아파트,충청남도 당진시 계성3길 56-23 (읍내동),5010172
2025-02-23,디이스트,서울특별시 마포구 신촌로 232(아현동) ,0155085
2025-02-23,한천마을금광베네스타,경기도 용인시 처인구 이동읍 백옥대로 711 관리사무소 (한천마을 금광베네스타아파트),2011932
2025-02-22,중흥S클래스프라디움,"강원특별자치도 원주시 배울로 24 (반곡동, 중흥S클래스 프라디움 아파트)",4014659
2025-02-21,다성빌딩,전라남도 순천시 왕지2길 9-3  (왕지동),7040923
2025-02-21,무등산자이&어울림,"광주광역시 북구 서양로 155  (우산동, 무등산자이앤어울림아파트1단지)",7068980
2025-02-20,죽전역코아루더리브,대구광역시 달서구 용산로24길 40 ,6067157
2025-02-20,해운대신시가지현대아파트,부산광역시 해운대구 양운로37번길 11 (좌동),8005288
2025-02-20,현대밀라트1차오피스텔,경기도 고양시 일산동구 경의로 33 (백석동),2041454
2025-02-16,대원아크로빌,서울특별시 은평구 은평로4길 12-3 (응암동),0084308
2025-02-16,성남센트럴타운아파트,경기도 성남시 중원구 성남대로 1000 (여수동),2054598
2025-02-15,남송프라자,인천광역시 서구 원창로 174 (신현동),2122218
2025-02-13,더포레스트힐아파트,경기도 안양시 동안구 임곡로 43 더포레스트힐 관리사무소(비산동),2118861
2025-02-12,무등산센트럴파크,"광주광역시 남구 방림로 31 (방림동, 휴먼시아아파트)",7036972
2025-02-12,수성대림e-편한세상,"대구광역시 수성구 들안로73길 50-7 (수성동4가, 수성대림 e-편한세상)",6027300
2025-02-11,강천빌딩,전북특별자치도 익산시 무왕로11길 6-5 (영등동),7049151
2025-02-10,경남로봇랜드재단R&D센터,경상남도 창원시 마산합포구 구산면 로봇랜드로 33 ,8100350
2025-02-10,도모프라자,대전광역시 유성구 관평2로 56 (관평동),5003046
2025-02-09,구월프라움아트,인천광역시 남동구 예술로204번길 19 (구월동),2170060
2025-02-06,과천자이아파트,경기도 과천시 별양로 110 (별양동),2245828
2025-02-06,사파동성아파트,"경상남도 창원시 성산구 창이대로 737 (사파동, 사파동성아파트)",8073164
2025-02-06,옥련현대1차아파트,인천광역시 연수구 옥련로 33 (옥련동),2058664
2025-02-05,SK북한산시티(분양),서울특별시 강북구 솔샘로 174 (미아동),0049774
2025-02-05,대광로제비앙,충청남도 아산시 배방읍 동방로 134 ,5098437
2025-02-05,어양동센트럴파크,전라북도 익산시 하나로 337 ,7062477
2025-02-04,스페이스로직,서울특별시 강남구 언주로164길 14-1 (신사동),0140536
2025-02-03,당진센트레빌르네블루2차,충청남도 당진시 수청동535-1 ,5098524
2025-02-03,순천만요양원,전라남도 순천시 녹색로 1334-37  (인월동),7054161
2025-02-03,유승한내들,"경상남도 양산시 삼호로 98 (삼호동, 유승한내들아파트)",8043746
2025-02-03,칠성푸르지오아파트,경기도 평택시 신장로 55 (신장동),2106042
2025-02-01,은하수수목원아파트,서울특별시 구로구 경인로2길 29 (오류동),0090388
2025-01-28,KD타워,전라남도 나주시 그린로 363 (빛가람동),7037832
2025-01-28,미광마린타워아파트,부산광역시 영도구 대교로14번길 17 (봉래동2가),8051403
2025-01-28,상원빌,광주광역시 북구 자라봉로56번길 15-3  (양산동),7061001
2025-01-28,제천 의림지온수골찜질방,충청북도 제천시 풍양로9길 5 (의림동) 충청북도 제천시 의림동 50-1 ,5092331
2025-01-27,금곡주공4단지아파트,부산광역시 북구 효열로 76 (금곡동),8005240
2025-01-27,서산예천푸르지오아파트,충청남도 서산시 호수공원11로 11 (예천동),5038563
2025-01-27,창신무학타운,경상북도 경산시 진량읍 금호강변로 820 (창신무학),6011686
2025-01-26,타워팰리스2차 (생활지원센터),서울특별시 강남구 언주로30길 57 (도곡동),0071563
2025-01-25,목동하이페리온2 오피스텔,"서울특별시 양천구 오목로 300 (목동, 현대하이페리온2)",0058926
2025-01-24,목동삼성래미안아파트,"서울특별시 양천구 신목로 7 (신정동, 목동삼성아파트)",0031802
2025-01-23,진흥빌딩,경기도 구리시 체육관로 149-1 (교문동),2000780
2025-01-21,아이사랑놀이터,경기도 성남시 분당구 황새울로240번길 10-5 아이사랑놀이터 (수내동),2114958
2025-01-20,화수분빌2,경기도 여주시 소양로15번길 4 ,2231124
2025-01-18,국제미소래아파트,"광주광역시 북구 중가로3번길 25 (임동, 국제미소래 1차)",7037496
2025-01-15,강동롯데캐슬퍼스트아파트,서울특별시 강동구 고덕로 131 (암사동),0037904
2025-01-15,사직역삼정그린코아더베스트1차,"부산광역시 동래구 사직로 8 (사직동, 사직역 삼정 그린코아 더베스트1차)",8085805
2025-01-12,검단e-편한세상아파트,"인천광역시 서구 검단로 446 (왕길동, 검단e편한세상아파트)",2032474
2025-01-12,울산방어휴먼시아,"울산광역시 동구 등대4길 25 (방어동, 울산방어휴먼시아)",8025007
2025-01-12,증평대성베르힐아파트,충청북도 증평군 증평읍 북부두름길 80 ,5057583
2025-01-10,(주)라한호텔울산,울산광역시 동구 방어진순환도로 875 (전하동),8011061
2025-01-09,서영빌딩,서울특별시 마포구 양화로16길 18 (서교동),0040365
2025-01-08,시티빌,부산광역시 연제구 진연로 30-15 (연산동),8059354
2025-01-08,평촌아트상가,경기도 안양시 동안구 평촌대로 140 (평촌동),2070084
2025-01-07,가온마을1단지,세종특별자치시  다정남로 22  (다정동),5071453
2025-01-06,기흥힉스유타워,경기도 용인시 기흥구 중부대로 184 (영덕동),2206021
2025-01-06,동영빌딩,대구광역시 달서구 월배로 137 (진천동),6011214
2025-01-06,동호오피스텔,서울특별시 마포구 성산로2길 15 (성산동),0069980
2025-01-06,부산가야동143-9,부산광역시 부산진구 가야대로507번길 6-12 (가야동),8114135
2025-01-06,트레비앙 102동,경기도 성남시 분당구 만세길 12 (율동),2180789
2025-01-05,국민건강보험공단 인재개발원,충청북도 제천시 청풍면 청풍명월로 216 ,5085918
2025-01-04,조치원죽림푸르지오,세종특별자치시  조치원읍 죽림본로 33-6 ,5014622
2025-01-03,우체국보험회관,광주광역시 서구 상무중앙로 110 (치평동),7001143
2025-01-03,이브자리,경기도 이천시 영창로 201-3 (창전동),2024104
2025-01-02,건화호반맨션,경상북도 김천시 연화지2길 23 (교동),6042642
2025-01-02,성우빌딩,광주광역시 북구 설죽로 506 (일곡동),7027735
2025-01-02,초우빌딩,서울특별시 강동구 명일로 189 (길동),0034976
2024-12-30,더엠빌딩,경기도 용인시 기흥구 동백중앙로 265 (중동) 더엠프라자,2005101
2024-12-30,토티빌,서울특별시 송파구 가락로 256 (방이동),0045943
2024-12-29,호수마을 e편한세상아파트,"경기도 김포시 김포한강5로 385 (구래동, 호수마을자연앤이편한세상)",2112153
2024-12-28,광주오포 양우내안애 아파트,"경기도 광주시 문형새솔길 12  (문형동, 오포문형 양우내안애 아파트)",2189853
2024-12-28,세천 한라비발디 육교,대구광역시 달성군 다사읍 세천로 181 ,6038236
2024-12-27,동성로 SK 리더스뷰,대구광역시 중구 공평로 36  (삼덕동2가),6069644
2024-12-24,명진파크뷰,부산광역시 강서구 과학산단2로20번길 11 (지사동),8081478
2024-12-23,신안동역 코아루미소지움,경상북도 안동시 노하길 142  (노하동),6051732
2024-12-23,진흥하이츠1차아파트,전북특별자치도 고창군 고창읍 남구4길 27  (읍내리),7048986
2024-12-21,영무예다음,경상북도 구미시 인동54길 9 (구평동),6042023
2024-12-21,제주봉개LH아파트,제주특별자치도 제주시 번영로 528 ,9011442
2024-12-20,한마루빌라,광주광역시 북구 양산택지로37번길 42 (양산동),7032370
2024-12-19,인천검단 LH20단지 아파트,"인천광역시 서구 이음3로 220 (원당동, 인천검단 엘에이치 20단지)",2238237
2024-12-17,청주테크노폴리스지웰푸르지오,"충청북도 청주시 흥덕구 송화로 229 (문암동, 청주테크노폴리스 지웰푸르지오)",5090069
2024-12-16,센트럴시티,경상북도 김천시 혁신3로 17  (율곡동),6048891
2024-12-15,현대문화1차아파트,울산광역시 남구 화합로102번길 10 (삼산동，현대문화1차아파트),8023403
2024-12-14,연화마을 STXKAN 6단지아파트,충청남도 아산시 배방읍 연화로 11 (연화마을STXKAN6단지아파트),5036303
2024-12-14,오시리아 메디타운,부산광역시 기장군 기장읍 동부산관광1로 60 ,8110890
2024-12-14,초록마을1단지(금성백조예미지),대전광역시 서구 복수동로 21-19 (복수동),5043429
2024-12-12,CK빌딩,대구광역시 수성구 달구벌대로 2529 (범어동),6054385
2024-12-11,현대밀라트1차오피스텔,경기도 고양시 일산동구 경의로 33 (백석동),2041454
2024-12-11,힐스테이트 신용 더 리버,광주광역시 북구 빛고을대로 615 ,7073517
2024-12-09,JMP빌딩,부산광역시 사상구 모라로 10 ,8120415
2024-12-09,신화아파트,"충청북도 청주시 청원구 1순환로211번길 11  (내덕동, 신화아파트)",5051019
2024-12-08,중앙동힐스테이트1차아파트,경기도 성남시 중원구 시민로66번길 21 (중앙동),2075439
2024-12-07,대구다사 e-편한세상,대구광역시 달성군 다사읍 다사역로 60 (다사 e-편한세상),6023770
2024-12-07,황등제일아파트,전북특별자치도 익산시 황등면 황등로 112-4 (황등리),7038229
2024-12-04,스타벅스 가평설악IC DT점,경기도 가평군 설악면 신선봉로 14 ,2269492
2024-12-03,강동리엔파크13단지,서울특별시 강동구 고덕로98길 161 ,0151228
2024-12-03,부산광역시장애인종합복지관,부산광역시 연제구 중앙대로1150번길 15 (연산동),8076985
2024-12-02,NH서울타워,서울특별시 강서구 양천로 570 ,0147508
2024-12-01,수원동신1단지아파트,경기도 수원시 장안구 장안로 232 (정자동),2004681
2024-11-30,공릉청솔8단지아파트,서울특별시 노원구 노원로1가길 10 (공릉동),0044305
2024-11-30,선화센트럴뷰,대전광역시 중구 중앙로 45 (선화동),5001889
2024-11-29,분평주공7단지아파트,충청북도 청주시 서원구 분평로 18 (분평동),5041121
2024-11-28,구미원호푸르지오,경상북도 구미시 고아읍 들성로 121 (푸르지오아파트),6031740
2024-11-28,무실주공3단지,강원특별자치도 원주시 시청로 92 (무실동),4003864
2024-11-27,나성초등학교,세종특별자치시 갈매로 294 ,5088474
2024-11-27,덕신리1285-5근생,울산광역시 울주군 온산읍 덕신로 259 ,8096408
2024-11-27,포레나송파,"서울특별시 송파구 위례송파로 123 (거여동, 위례포레샤인 17단지)",0148839
2024-11-26,서신e-편한세상아파트,전북특별자치도 전주시 완산구 여울로 161 (서신동),7022848
2024-11-26,자연유치원,서울특별시 금천구 시흥대로40길 93 (시흥동),0047864
2024-11-25,아띠프라자,광주광역시 남구 효우2로26번길 24 (행암동),7044516
2024-11-24,(주)문화일보,서울특별시 중구 새문안로 22 (충정로1가),0042599
2024-11-21,사랑으로혁신부영2차아파트,"전라남도 나주시 그린로 125 (빛가람동, 빛가람 사랑으로 부영2단지 아파트)",7050938
2024-11-21,풍무 센트럴 푸르지오아파트,"경기도 김포시 유현로 215 (풍무동, 풍무 센트럴 푸르지오)",2197187
2024-11-20,잠실더샵루벤/송파성지리모델링,서울특별시 송파구 송파동 171 ,0169185
2024-11-19,남일빌딩,전라남도 광양시 광양읍 성북길 47-8 ,7005226
2024-11-19,덕일마이빌아파트,충청북도 청주시 상당구 중흥로 148 (용암동),5021142
2024-11-19,화정해광샹그릴라센트럴337,광주광역시 서구 내방로 337  (화정동),7054542
2024-11-18,침산쌍용아파트,대구광역시 북구 침산로21길 36 (침산동),6018509
2024-11-16,북촌리공동주택,제주특별자치도 제주시 조천읍 북촌14길 57 ,9015132
2024-11-16,화서역우방센트럴파크,경기도 수원시 장안구 수성로245번길 21 (정자동),2048369
2024-11-15,더림스A,대전광역시 서구 한밭대로602번길 18 (월평동),5076422
2024-11-14,성호2차파크힐아파트,경기도 파주시 조리읍 두루봉로 33-37 ,2068897
2024-11-14,용인성지아파트,경기도 용인시 수지구 정평로 61 (풍덕천동，신정마을성지아파트),2104304
2024-11-13,양주가납주공1단지APT,경기도 양주시 광적면 삼일로65번길 156 (가납주공아파트),2089547
2024-11-12,제주특별자치도노인복지관,제주특별자치도 제주시 과원북4길 12 (노형동),9001299
2024-11-11,청담웰피아2차,전라남도 장성군 장성읍 강변로 676 ,7072341
2024-11-08,한국철도공사 분당선 야탑역,경기도 성남시 분당구 성남대로 903 (야탑동),2050605
2024-11-06,남양주평내화성파크힐즈,경기도 남양주시 평내로 76 (평내동，화성아파트),2037871
2024-11-05,e편한세상 시티한강신도시,경기도 김포시 김포한강9로75번길 158 (구래동),2209002
2024-11-05,도램마을13단지,세종특별자치시  보람로 95  (도담동),5039566
2024-11-05,통영청구하이츠,경상남도 통영시 용남면 대곡길 12 (동달리),8069211
2024-11-03,강동리엔파크13단지,서울특별시 강동구 고덕로98길 161 ,0151197
2024-10-30,튼튼한크리닉타운,대전광역시 유성구 관평2로 7-7 (관평동),5023109
2024-10-29,감만국제아파트,부산광역시 남구 석포로 34 (감만동),8022475
2024-10-29,반곡아이파크,"강원특별자치도 원주시 늘품로 199  (반곡동, 반곡아이파크아파트)",4007409
2024-10-29,청량리역 롯데캐슬 SKY-L65아파트,서울특별시 동대문구 답십리로 27 ,0158232
2024-10-28,삼양식품(주),강원특별자치도 원주시 우산로 177 (우산동),4005265
